"","pairnum","sex","zygosity","moed","faed","faminc","english","math","socsci","natsci","vocab"
"576",522,"2","1","4","6","7",19,21,24,20,21
"577",523,"2","2","3","3","3",13,18,13,12,18
"578",523,"2","2","3","3","3",24,14,18,17,20
"579",524,"1","2","3","4","1",18,17,20,18,14
"580",524,"1","2","3","4","1",19,20,22,20,20
"583",529,"1","1","1","1","2",22,17,23,12,25
"584",529,"1","1","1","1","2",15,13,20,19,24
"585",530,"1","1","2","2","2",23,24,21,24,18
"586",530,"1","1","2","2","2",18,28,25,25,21
"587",532,"2","1","6","6","5",7,11,15,4,21
"588",532,"2","1","6","6","5",11,8,16,10,18
"589",535,"2","1","5","4","2",14,16,13,10,15
"590",535,"2","1","5","4","2",21,20,16,8,17
"591",537,"2","2","3","5","4",21,18,21,17,22
"592",537,"2","2","3","5","4",23,21,23,23,22
"593",540,"1","1","5","3","4",13,22,16,14,17
"594",540,"1","1","5","3","4",11,24,20,21,21
"595",541,"1","2","6","6","4",24,20,20,25,23
"596",541,"1","2","6","6","4",25,31,25,27,26
"597",544,"1","2","3","3","2",22,25,19,19,21
"598",544,"1","2","3","3","2",19,24,22,24,20
"599",547,"2","1","4","6","7",19,20,15,4,22
"600",547,"2","1","4","6","7",21,19,16,9,23
"601",549,"1","1","4","3","2",17,14,23,23,22
"602",549,"1","1","4","3","2",20,18,21,20,24
"603",553,"1","2","3","3","3",20,24,28,24,27
"604",553,"1","2","3","3","3",25,29,28,26,27
"605",555,"1","2","4","4","4",18,21,20,16,18
"606",555,"1","2","4","4","4",19,19,18,19,20
"609",562,"2","1","4","4","4",21,14,24,16,25
"610",562,"2","1","4","4","4",20,20,25,15,23
"611",568,"2","2","5","6","4",19,20,16,23,26
"612",568,"2","2","5","6","4",22,22,21,19,24
"613",569,"2","2","2","3","3",19,20,21,19,19
"614",569,"2","2","2","3","3",17,16,19,18,16
"615",571,"1","2","2","3","2",19,20,19,21,20
"616",571,"1","2","2","3","2",23,21,17,21,20
"617",573,"2","1","3","5","6",22,21,20,23,23
"618",573,"2","1","3","5","6",20,15,18,19,21
"619",574,"2","2","3","3","2",16,11,13,17,18
"620",574,"2","2","3","3","2",17,14,20,26,18
"621",575,"1","2","5","5","5",23,33,32,30,32
"622",575,"1","2","5","5","5",22,26,27,21,30
"623",576,"1","1","4","4","4",15,18,22,23,23
"624",576,"1","1","4","4","4",19,18,18,21,19
"625",577,"2","1","3","3","3",21,20,18,23,22
"626",577,"2","1","3","3","3",22,22,22,17,25
"627",579,"1","2","3","4","5",20,24,17,20,18
"628",579,"1","2","3","4","5",13,27,11,21,17
"629",581,"2","2","4","5","5",23,23,25,19,28
"630",581,"2","2","4","5","5",18,15,23,15,23
"631",582,"2","1","2","3","3",19,20,18,18,18
"632",582,"2","1","2","3","3",21,13,20,23,17
"633",583,"1","2","3","1","1",18,23,17,23,19
"634",583,"1","2","3","1","1",17,21,25,21,19
"635",586,"1","1","4","4","2",11,26,20,21,18
"636",586,"1","1","4","4","2",15,18,26,19,19
"637",588,"2","2","1","1","1",19,24,19,11,21
"638",588,"2","2","1","1","1",17,18,20,20,19
"639",592,"2","2","5","6","7",26,25,28,29,31
"640",592,"2","2","5","6","7",28,31,30,31,32
"641",593,"2","1","3","5","7",24,21,27,22,27
"642",593,"2","1","3","5","7",26,25,27,19,27
"643",598,"2","1","1","3","5",18,10,16,10,18
"644",598,"2","1","1","3","5",22,20,21,15,18
"645",599,"1","1","3","3","2",18,33,17,9,15
"646",599,"1","1","3","3","2",18,32,18,20,21
"647",600,"2","1","3","3","4",18,19,17,11,19
"648",600,"2","1","3","3","4",22,22,17,14,20
"651",605,"1","2","4","1","2",24,29,21,24,21
"652",605,"1","2","4","1","2",16,26,23,15,23
"653",608,"1","2","3","4","3",18,17,22,19,22
"654",608,"1","2","3","4","3",14,20,20,21,18
"655",610,"2","2","3","4","4",27,35,29,29,24
"656",610,"2","2","3","4","4",17,29,19,21,20
"657",614,"2","2","1","3","1",18,12,18,21,18
"658",614,"2","2","1","3","1",18,20,17,21,18
"659",617,"2","1","3","5","3",14,10,14,8,16
"660",617,"2","1","3","5","3",13,12,16,12,17
"661",618,"2","2","1","2","3",23,25,17,24,25
"662",618,"2","2","1","2","3",21,25,25,24,27
"663",620,"2","1","4","5","5",25,23,26,25,24
"664",620,"2","1","4","5","5",26,26,24,23,24
"665",621,"2","1","2","2","1",14,16,20,15,25
"666",621,"2","1","2","2","1",14,20,24,12,24
"667",623,"2","2","6","6","4",26,32,23,22,26
"668",623,"2","2","6","6","4",22,29,25,28,31
"669",624,"2","1","4","3","2",28,26,28,21,29
"670",624,"2","1","4","3","2",25,29,26,26,26
"671",625,"2","1","2","4","1",15,13,19,10,18
"672",625,"2","1","2","4","1",18,16,17,13,18
"673",626,"1","2","5","6","5",24,29,31,27,30
"674",626,"1","2","5","6","5",23,25,25,9,23
"675",627,"2","1","2","6","2",18,21,21,13,21
"676",627,"2","1","2","6","2",19,20,18,11,19
"677",629,"1","2","5","4","3",24,25,24,19,22
"678",629,"1","2","5","4","3",24,28,21,24,27
"679",631,"2","2","1","3","2",16,22,17,9,17
"680",631,"2","2","1","3","2",21,16,13,15,16
"681",632,"2","1","3","3","1",17,18,18,9,13
"682",632,"2","1","3","3","1",19,11,18,17,14
"683",633,"1","1","3","1","2",14,24,15,12,14
"684",633,"1","1","3","1","2",16,19,20,23,11
"685",636,"2","2","4","3","1",23,14,20,21,26
"686",636,"2","2","4","3","1",19,22,16,19,20
"689",641,"2","1","2","2","1",12,17,15,3,15
"690",641,"2","1","2","2","1",13,16,11,13,15
"691",642,"1","1","3","5","5",17,20,18,18,18
"692",642,"1","1","3","5","5",11,19,16,15,18
"693",643,"1","2","3","4","5",21,20,18,23,20
"694",643,"1","2","3","4","5",21,19,20,24,22
"695",645,"2","1","3","3","4",26,26,25,23,28
"696",645,"2","1","3","3","4",24,28,29,26,29
"697",647,"2","1","3","3","1",9,12,13,12,15
"698",647,"2","1","3","3","1",7,13,13,18,13
"699",650,"1","1","5","5","4",23,19,26,20,29
"700",650,"1","1","5","5","4",18,20,17,22,23
"701",651,"2","1","2","3","3",19,26,21,20,20
"702",651,"2","1","2","3","3",19,20,21,17,20
"703",652,"1","1","3","3","3",15,31,22,26,18
"704",652,"1","1","3","3","3",17,23,27,27,20
"705",653,"2","1","5","5","5",12,17,14,13,14
"706",653,"2","1","5","5","5",14,19,15,16,17
"709",655,"2","1","6","4","3",18,10,22,24,22
"710",655,"2","1","6","4","3",24,11,20,22,28
"711",656,"1","2","4","4","3",24,30,26,26,24
"712",656,"1","2","4","4","3",23,32,28,25,24
"713",658,"1","2","3","3","4",21,28,19,27,20
"714",658,"1","2","3","3","4",15,13,17,15,18
"715",659,"2","2","6","3","4",10,8,5,10,8
"716",659,"2","2","6","3","4",18,23,17,12,15
"717",661,"2","2","1","1","2",22,25,21,18,26
"718",661,"2","2","1","1","2",17,21,20,18,19
"721",666,"2","1","4","4","3",16,10,16,11,22
"722",666,"2","1","4","4","3",13,10,18,13,19
"723",667,"1","2","4","3","4",17,19,26,23,25
"724",667,"1","2","4","3","4",11,21,25,24,23
"727",672,"2","2","3","3","1",9,6,13,9,14
"728",672,"2","2","3","3","1",14,6,14,18,14
"729",673,"1","1","3","4","3",13,21,24,22,18
"730",673,"1","1","3","4","3",16,27,24,20,18
"731",674,"1","1","5","6","5",27,35,30,32,28
"732",674,"1","1","5","6","5",30,35,32,33,28
"733",677,"2","1","2","3","5",13,21,18,15,20
"734",677,"2","1","2","3","5",11,20,16,15,16
"735",678,"1","2","1","2","1",13,8,16,14,10
"736",678,"1","2","1","2","1",18,13,13,11,16
"737",679,"2","2","4","3","3",22,22,27,26,24
"738",679,"2","2","4","3","3",24,20,21,22,24
"739",680,"2","1","4","6","5",25,28,25,28,27
"740",680,"2","1","4","6","5",27,27,28,28,28
"741",684,"1","2","4","6","4",15,14,16,18,20
"742",684,"1","2","4","6","4",15,20,21,17,22
"743",685,"2","2","5","4","1",19,30,24,17,20
"744",685,"2","2","5","4","1",14,15,18,15,19
"745",688,"2","1","4","4","4",20,15,20,16,20
"746",688,"2","1","4","4","4",19,18,23,22,21
"747",689,"2","2","2","1","1",28,18,25,25,25
"748",689,"2","2","2","1","1",17,22,19,20,15
"749",691,"2","2","3","5","4",22,26,21,26,24
"750",691,"2","2","3","5","4",20,22,25,14,20
"751",692,"2","1","4","4","5",23,14,17,9,23
"752",692,"2","1","4","4","5",26,22,20,17,26
"755",694,"1","1","3","3","2",7,14,13,15,14
"756",694,"1","1","3","3","2",14,17,19,9,14
"757",696,"2","1","6","3","2",14,22,16,21,15
"758",696,"2","1","6","3","2",14,20,17,10,16
"761",698,"2","2","3","6","2",17,14,10,17,16
"762",698,"2","2","3","6","2",15,18,20,18,14
"763",701,"1","1","3","2","5",21,31,22,23,19
"764",701,"1","1","3","2","5",24,33,27,28,24
"765",704,"1","1","1","1","1",18,21,19,18,19
"766",704,"1","1","1","1","1",19,25,23,24,21
"767",705,"1","1","2","3","2",15,21,26,23,20
"768",705,"1","1","2","3","2",23,31,26,25,22
"771",707,"1","1","4","4","3",21,32,27,28,22
"772",707,"1","1","4","4","3",25,29,30,25,22
"775",713,"2","2","3","5","7",18,24,19,18,23
"776",713,"2","2","3","5","7",22,20,23,24,27
"779",718,"2","1","3","1","1",22,8,17,15,18
"780",718,"2","1","3","1","1",22,14,16,17,17
"781",720,"2","2","3","4","4",22,22,25,23,30
"782",720,"2","2","3","4","4",27,28,23,26,24
"783",721,"1","1","3","4","2",12,14,13,14,19
"784",721,"1","1","3","4","2",15,15,15,10,21
"785",723,"2","2","3","4","2",18,24,17,17,16
"786",723,"2","2","3","4","2",20,25,21,21,19
"787",724,"1","1","3","3","3",16,22,17,3,17
"788",724,"1","1","3","3","3",19,18,17,13,17
"789",725,"2","1","2","1","1",24,19,21,25,26
"790",725,"2","1","2","1","1",21,24,23,27,24
"793",729,"2","1","3","1","7",21,14,16,14,18
"794",729,"2","1","3","1","7",20,17,17,15,15
"795",732,"2","1","2","4","1",21,19,19,25,21
"796",732,"2","1","2","4","1",25,23,19,21,20
"797",733,"1","1","6","2","1",10,16,13,12,14
"798",733,"1","1","6","2","1",14,10,17,16,16
"799",735,"2","1","2","2","3",13,11,15,16,10
"800",735,"2","1","2","2","3",13,13,14,16,14
"803",741,"1","2","3","3","3",17,20,13,17,16
"804",741,"1","2","3","3","3",21,17,19,21,18
"805",743,"2","1","3","3","5",19,15,15,17,19
"806",743,"2","1","3","3","5",20,17,15,17,18
"807",745,"2","1","4","3","1",20,11,18,18,21
"808",745,"2","1","4","3","1",19,14,22,17,21
"809",746,"2","1","5","5","4",13,11,15,14,16
"810",746,"2","1","5","5","4",14,16,16,14,20
"813",749,"1","1","3","5","3",13,12,16,14,14
"814",749,"1","1","3","5","3",19,17,18,20,19
"817",752,"1","2","5","4","4",21,21,24,27,29
"818",752,"1","2","5","4","4",22,31,25,26,23
"819",754,"2","1","3","3","2",20,16,16,13,16
"820",754,"2","1","3","3","2",20,13,19,18,14
"821",755,"2","1","5","6","4",26,26,27,29,32
"822",755,"2","1","5","6","4",26,32,29,29,32
"823",758,"1","1","3","3","4",17,25,25,29,21
"824",758,"1","1","3","3","4",22,20,26,29,22
"825",759,"2","2","3","3","4",17,26,20,22,21
"826",759,"2","2","3","3","4",15,12,17,14,15
"827",764,"2","2","2","1","1",13,11,18,9,16
"828",764,"2","2","2","1","1",11,17,15,14,16
"829",766,"1","2","3","4","3",18,29,17,29,17
"830",766,"1","2","3","4","3",18,29,26,22,23
"831",768,"1","1","3","6","4",26,34,27,30,30
"832",768,"1","1","3","6","4",28,33,27,28,32
"833",771,"1","1","2","1","2",18,16,23,20,24
"834",771,"1","1","2","1","2",13,17,18,9,20
"835",773,"2","1","4","3","2",23,20,20,24,20
"836",773,"2","1","4","3","2",17,16,23,14,21
"837",774,"2","2","4","3","7",11,19,14,16,16
"838",774,"2","2","4","3","7",17,18,18,21,14
"839",775,"2","2","4","4","1",21,12,26,26,26
"840",775,"2","2","4","4","1",24,14,26,25,26
"841",776,"2","2","5","4","4",22,21,23,21,18
"842",776,"2","2","5","4","4",25,25,24,21,19
"843",779,"1","1","4","5","2",23,19,24,20,23
"844",779,"1","1","4","5","2",21,27,22,22,23
"845",780,"2","2","4","1","2",19,21,18,25,21
"846",780,"2","2","4","1","2",25,28,23,24,22
"847",783,"1","2","3","4","2",23,31,24,29,22
"848",783,"1","2","3","4","2",28,32,28,27,29
"849",785,"1","1","3","4","3",21,24,24,25,22
"850",785,"1","1","3","4","3",24,28,26,27,25
"851",786,"1","1","4","3","3",19,20,17,23,19
"852",786,"1","1","4","3","3",22,18,23,24,18
"853",787,"1","1","3","2","2",16,17,10,18,13
"854",787,"1","1","3","2","2",20,17,18,21,16
"855",789,"1","2","3","3","2",17,17,25,24,23
"856",789,"1","2","3","3","2",12,16,18,23,22
"857",791,"2","2","1","3","2",14,23,15,17,17
"858",791,"2","2","1","3","2",20,24,19,11,19
"859",792,"2","2","2","2","1",10,10,8,12,16
"860",792,"2","2","2","2","1",14,11,9,7,15
"861",797,"2","1","1","2","1",18,16,13,7,16
"862",797,"2","1","1","2","1",17,21,13,12,16
"863",800,"2","1","4","5","4",24,23,19,14,23
"864",800,"2","1","4","5","4",21,23,20,22,22
"865",801,"2","1","3","5","3",26,17,20,12,23
"866",801,"2","1","3","5","3",24,25,15,17,20
"867",805,"2","1","3","2","2",26,19,19,20,22
"868",805,"2","1","3","2","2",26,21,21,25,22
"871",809,"2","2","3","6","4",26,19,20,23,22
"872",809,"2","2","3","6","4",29,25,26,26,28
"873",811,"2","1","2","4","2",16,19,19,18,19
"874",811,"2","1","2","4","2",15,22,20,23,18
"875",812,"1","1","3","2","3",13,10,11,10,11
"876",812,"1","1","3","2","3",22,18,15,23,22
"877",814,"2","1","3","3","3",14,6,15,10,14
"878",814,"2","1","3","3","3",19,12,12,16,17
"879",816,"1","2","3","1","2",12,27,22,21,19
"880",816,"1","2","3","1","2",12,17,18,20,18
"881",819,"1","1","5","6","3",29,34,26,29,30
"882",819,"1","1","5","6","3",30,35,30,28,30
"883",820,"1","1","3","3","4",9,15,15,13,12
"884",820,"1","1","3","3","4",12,13,16,10,16
"885",821,"1","1","2","2","2",16,18,15,11,19
"886",821,"1","1","2","2","2",13,17,16,19,19
"887",822,"2","2","4","4","2",15,24,22,24,25
"888",822,"2","2","4","4","2",14,15,22,14,20
"889",823,"2","2","3","4","5",22,17,26,23,29
"890",823,"2","2","3","4","5",26,24,30,28,31
"891",824,"2","2","2","1","3",19,24,25,22,26
"892",824,"2","2","2","1","3",23,25,23,23,24
"893",825,"1","1","5","6","6",22,34,28,24,29
"894",825,"1","1","5","6","6",25,32,27,31,29
"895",826,"2","2","5","5","5",20,31,19,25,24
"896",826,"2","2","5","5","5",22,33,27,24,30
"897",828,"2","1","5","5","6",28,26,26,25,26
"898",828,"2","1","5","5","6",30,32,25,26,29
"899",829,"1","1","3","3","1",13,28,21,14,17
"900",829,"1","1","3","3","1",14,14,18,17,17
"901",830,"2","2","3","2","3",17,19,23,22,24
"902",830,"2","2","3","2","3",20,20,28,17,27
"903",831,"2","1","2","2","2",21,18,22,15,25
"904",831,"2","1","2","2","2",19,10,20,18,23
"905",832,"1","1","3","4","3",20,23,18,22,18
"906",832,"1","1","3","4","3",19,24,18,23,19
"907",833,"2","1","3","2","4",27,30,26,31,30
"908",833,"2","1","3","2","4",25,30,28,31,31
"909",837,"2","1","1","1","3",18,18,20,16,25
"910",837,"2","1","1","1","3",21,17,24,17,24
"911",838,"2","2","2","3","4",14,12,17,13,15
"912",838,"2","2","2","3","4",17,11,18,14,17
"913",839,"2","1","4","4","3",25,19,30,25,25
"914",839,"2","1","4","4","3",25,22,25,26,24
"915",840,"2","1","5","6","7",21,18,21,12,20
"916",840,"2","1","5","6","7",19,19,15,16,20
"917",841,"2","2","4","2","3",21,24,17,20,22
"918",841,"2","2","4","2","3",28,31,19,22,24
"919",842,"2","1","3","2","2",15,12,20,21,20
"920",842,"2","1","3","2","2",11,19,21,10,19
"921",844,"2","2","3","4","7",20,28,21,23,22
"922",844,"2","2","3","4","7",20,26,20,26,22
"923",847,"1","2","1","1","2",24,29,19,20,27
"924",847,"1","2","1","1","2",20,26,21,16,22
"925",848,"1","2","2","2","2",21,20,19,16,19
"926",848,"1","2","2","2","2",16,13,18,14,21
"927",849,"2","1","4","4","4",21,17,22,20,29
"928",849,"2","1","4","4","4",23,8,24,10,28
"931",851,"1","1","2","2","1",20,20,30,15,29
"932",851,"1","1","2","2","1",23,25,21,14,27
"933",852,"1","2","3","4","4",25,31,25,25,21
"934",852,"1","2","3","4","4",18,23,15,9,17
"935",853,"1","2","2","2","2",20,22,24,23,26
"936",853,"1","2","2","2","2",17,30,27,26,25
"937",854,"1","2","5","3","2",27,30,31,27,27
"938",854,"1","2","5","3","2",27,31,30,25,31
"939",857,"1","1","3","6","4",18,20,17,14,21
"940",857,"1","1","3","6","4",15,24,17,15,21
"941",858,"2","2","3","2","3",24,25,22,21,27
"942",858,"2","2","3","2","3",26,28,28,25,24
"943",859,"2","1","2","4","2",20,22,28,10,29
"944",859,"2","1","2","4","2",21,25,26,22,29
"945",861,"1","2","5","3","2",22,27,26,26,25
"946",861,"1","2","5","3","2",23,26,26,24,27
"947",862,"2","1","3","3","1",20,13,20,19,17
"948",862,"2","1","3","3","1",19,24,23,21,21
"949",863,"2","2","6","6","3",27,24,26,25,28
"950",863,"2","2","6","6","3",29,26,24,21,28
"951",864,"2","1","3","4","2",24,18,25,15,24
"952",864,"2","1","3","4","2",24,24,22,25,27
"953",865,"1","2","3","4","3",16,23,27,24,24
"954",865,"1","2","3","4","3",19,27,26,27,24
"955",867,"1","2","3","4","2",13,20,19,16,14
"956",867,"1","2","3","4","2",13,12,19,16,17
"957",869,"1","1","4","5","2",17,25,23,14,20
"958",869,"1","1","4","5","2",16,21,18,18,19
"959",870,"2","2","4","2","2",22,21,24,25,26
"960",870,"2","2","4","2","2",17,18,22,16,16
"961",872,"1","1","3","5","4",13,14,24,16,19
"962",872,"1","1","3","5","4",12,16,20,12,18
"963",873,"1","2","2","1","1",12,20,21,18,18
"964",873,"1","2","2","1","1",14,20,22,19,17
"965",875,"1","1","4","4","4",21,25,17,20,25
"966",875,"1","1","4","4","4",19,26,25,16,26
"967",877,"2","2","3","3","3",19,21,19,18,17
"968",877,"2","2","3","3","3",21,18,12,13,19
"969",879,"2","2","4","4","2",17,25,20,20,19
"970",879,"2","2","4","4","2",22,20,24,17,22
"973",881,"2","2","3","3","3",16,19,20,15,23
"974",881,"2","2","3","3","3",18,30,23,23,24
"975",883,"2","1","5","6","3",17,21,20,14,20
"976",883,"2","1","5","6","3",22,22,22,13,26
"977",885,"2","1","3","2","2",13,23,26,21,20
"978",885,"2","1","3","2","2",20,23,24,19,20
"979",887,"2","1","3","4","4",15,23,18,12,21
"980",887,"2","1","3","4","4",14,15,17,16,23
"981",889,"1","2","4","6","5",20,29,23,26,27
"982",889,"1","2","4","6","5",20,29,22,21,23
"983",890,"2","2","2","4","2",17,24,22,17,19
"984",890,"2","2","2","4","2",20,24,24,25,28
"985",891,"1","1","3","4","3",13,15,21,23,20
"986",891,"1","1","3","4","3",17,18,21,21,19
"987",892,"2","1","4","4","4",21,26,30,28,26
"988",892,"2","1","4","4","4",23,28,26,27,28
"989",893,"2","1","3","4","3",22,21,23,21,23
"990",893,"2","1","3","4","3",24,19,18,22,20
"993",896,"2","1","4","3","4",24,24,23,27,23
"994",896,"2","1","4","3","4",24,25,23,20,22
"995",897,"2","1","4","6","5",24,21,28,26,27
"996",897,"2","1","4","6","5",28,33,29,26,28
"997",898,"2","2","5","5","4",19,32,27,21,24
"998",898,"2","2","5","5","4",15,17,21,17,28
"999",901,"1","1","3","1","3",14,20,17,16,19
"1000",901,"1","1","3","1","3",14,18,18,21,20
"1001",902,"2","1","2","2","4",22,13,16,18,20
"1002",902,"2","1","2","2","4",15,14,17,12,18
"1003",904,"2","1","5","5","1",27,30,27,28,24
"1004",904,"2","1","5","5","1",26,27,25,30,24
"1005",905,"2","1","2","1","5",20,22,20,21,23
"1006",905,"2","1","2","1","5",22,28,24,22,27
"1007",908,"2","1","6","6","6",27,28,24,30,27
"1008",908,"2","1","6","6","6",25,30,27,29,26
"1009",911,"2","1","5","4","5",24,29,26,21,24
"1010",911,"2","1","5","4","5",23,26,24,27,23
"1011",912,"1","2","6","6","4",23,30,28,25,27
"1012",912,"1","2","6","6","4",22,25,24,23,24
"1013",913,"1","1","3","4","4",23,30,28,29,24
"1014",913,"1","1","3","4","4",19,29,27,26,22
"1015",914,"1","2","3","2","3",15,24,20,22,17
"1016",914,"1","2","3","2","3",16,22,25,25,18
"1019",917,"1","2","4","4","3",19,23,23,19,18
"1020",917,"1","2","4","4","3",19,24,24,25,21
"1023",919,"2","2","4","4","7",21,25,16,20,20
"1024",919,"2","2","4","4","7",20,23,16,17,23
"1025",920,"1","2","3","5","4",12,25,19,17,17
"1026",920,"1","2","3","5","4",16,22,22,23,21
"1027",921,"1","2","4","3","3",21,26,25,28,29
"1028",921,"1","2","4","3","3",22,34,28,29,26
"1029",922,"1","1","3","4","4",20,30,28,25,25
"1030",922,"1","1","3","4","4",20,32,27,26,24
"1031",923,"2","1","1","1","2",21,20,17,24,23
"1032",923,"2","1","1","1","2",22,21,20,24,17
"1033",924,"2","1","5","5","5",23,26,25,21,22
"1034",924,"2","1","5","5","5",17,26,17,19,23
"1035",925,"2","2","3","1","4",20,22,19,18,20
"1036",925,"2","2","3","1","4",20,20,16,17,17
"1037",930,"2","1","4","2","4",14,13,19,20,18
"1038",930,"2","1","4","2","4",10,11,18,8,16
"1039",931,"2","1","4","3","7",21,23,25,17,22
"1040",931,"2","1","4","3","7",21,24,23,19,25
"1043",935,"2","2","6","6","4",25,25,24,19,30
"1044",935,"2","2","6","6","4",27,32,26,26,30
"1047",938,"1","1","2","1","1",20,21,27,23,31
"1048",938,"1","1","2","1","1",22,23,29,26,31
"1049",939,"1","1","2","3","2",18,25,23,19,23
"1050",939,"1","1","2","3","2",16,22,25,20,22
"1051",941,"2","1","3","2","1",20,21,19,19,22
"1052",941,"2","1","3","2","1",16,12,13,19,18
"1053",943,"1","1","3","3","3",25,21,27,23,24
"1054",943,"1","1","3","3","3",24,25,30,23,25
"1055",944,"1","1","4","5","4",26,25,18,24,20
"1056",944,"1","1","4","5","4",22,22,26,24,22
"1057",948,"2","1","3","4","3",17,19,21,17,19
"1058",948,"2","1","3","4","3",21,21,20,20,18
"1059",951,"1","1","2","2","3",24,34,26,22,27
"1060",951,"1","1","2","2","3",27,34,26,18,28
"1063",953,"1","2","4","6","7",25,31,27,31,30
"1064",953,"1","2","4","6","7",27,35,31,32,31
"1065",957,"1","1","2","2","4",19,30,27,26,25
"1066",957,"1","1","2","2","4",20,30,29,28,28
"1069",959,"2","2","3","5","7",18,16,17,14,18
"1070",959,"2","2","3","5","7",20,32,25,18,24
"1071",963,"2","2","3","3","4",24,15,23,24,20
"1072",963,"2","2","3","3","4",23,31,30,25,30
"1073",965,"2","1","1","1","3",23,22,18,21,18
"1074",965,"2","1","1","1","3",20,20,21,23,19
"1075",966,"1","1","3","6","6",19,24,17,15,16
"1076",966,"1","1","3","6","6",15,26,7,13,16
"1077",968,"2","1","5","6","7",20,21,23,14,27
"1078",968,"2","1","5","6","7",22,22,25,20,29
"1079",971,"2","1","5","5","4",12,21,18,20,22
"1080",971,"2","1","5","5","4",21,19,20,19,24
"1081",973,"1","2","3","3","4",18,20,23,25,21
"1082",973,"1","2","3","3","4",15,16,13,20,16
"1083",974,"2","1","5","1","1",17,14,18,23,26
"1084",974,"2","1","5","1","1",15,17,26,23,23
"1085",975,"1","1","4","1","3",25,22,23,28,21
"1086",975,"1","1","4","1","3",23,23,22,24,22
"1087",980,"2","1","4","5","3",24,24,25,12,26
"1088",980,"2","1","4","5","3",17,17,24,13,21
"1089",981,"2","1","3","2","3",20,26,21,25,23
"1090",981,"2","1","3","2","3",20,28,25,20,24
"1091",982,"2","2","2","5","6",22,25,19,19,24
"1092",982,"2","2","2","5","6",20,14,21,17,23
"1093",983,"2","2","5","3","3",22,21,23,26,22
"1094",983,"2","2","5","3","3",21,33,24,26,22
"1097",987,"1","2","6","4","6",23,32,26,30,27
"1098",987,"1","2","6","4","6",20,10,23,18,27
"1099",989,"1","2","2","2","3",21,31,21,23,19
"1100",989,"1","2","2","2","3",24,25,27,24,21
"1101",991,"2","2","3","5","3",23,27,22,23,20
"1102",991,"2","2","3","5","3",18,22,23,26,24
"1103",992,"1","2","3","5","4",18,20,20,16,17
"1104",992,"1","2","3","5","4",16,18,17,17,20
"1107",994,"1","2","2","4","3",20,23,26,25,24
"1108",994,"1","2","2","4","3",16,21,19,16,17
"1109",1000,"1","1","2","3","2",13,21,22,13,18
"1110",1000,"1","1","2","3","2",13,28,23,22,20
"1111",1002,"1","1","2","3","4",26,33,27,28,24
"1112",1002,"1","1","2","3","4",21,27,24,27,22
"1113",1003,"2","1","5","6","6",27,27,28,23,29
"1114",1003,"2","1","5","6","6",27,32,31,27,28
"1115",1005,"2","1","3","3","1",16,8,15,3,17
"1116",1005,"2","1","3","3","1",16,21,18,15,23
"1117",1006,"2","1","2","2","2",13,11,18,12,16
"1118",1006,"2","1","2","2","2",18,17,22,10,19
"1119",1007,"1","1","2","2","2",23,28,26,30,24
"1120",1007,"1","1","2","2","2",25,29,28,29,29
"1121",1011,"1","2","6","2","2",24,30,24,26,25
"1122",1011,"1","2","6","2","2",20,21,15,19,19
"1125",1013,"2","1","3","2","4",20,19,16,16,9
"1126",1013,"2","1","3","2","4",17,20,16,18,15
"1127",1017,"2","1","6","6","4",19,22,23,20,25
"1128",1017,"2","1","6","6","4",16,24,24,23,24
"1129",1020,"2","1","5","5","5",22,22,21,9,24
"1130",1020,"2","1","5","5","5",23,25,24,22,22
"1131",1022,"1","2","3","3","7",18,20,19,22,19
"1132",1022,"1","2","3","3","7",24,27,18,23,22
"1133",1023,"2","1","2","3","1",21,22,27,24,24
"1134",1023,"2","1","2","3","1",27,21,26,27,24
"1135",1026,"2","1","1","1","1",3,10,4,8,8
"1136",1026,"2","1","1","1","1",8,10,3,9,5
"1137",1028,"2","2","3","3","3",19,16,18,10,15
"1138",1028,"2","2","3","3","3",12,11,13,13,6
"1139",1029,"1","1","4","6","4",14,21,16,20,15
"1140",1029,"1","1","4","6","4",14,25,20,19,16
"1143",1036,"2","2","1","2","5",22,10,26,22,22
"1144",1036,"2","2","1","2","5",18,10,24,25,16
"1145",1037,"2","2","5","1","4",19,8,10,17,16
"1146",1037,"2","2","5","1","4",22,16,16,12,19
"1147",1041,"2","1","3","3","4",25,22,26,27,28
"1148",1041,"2","1","3","3","4",24,26,26,23,24
"1149",1043,"2","1","4","6","7",20,14,19,14,22
"1150",1043,"2","1","4","6","7",20,18,18,15,21
"1151",1044,"2","2","2","3","3",11,12,17,13,16
"1152",1044,"2","2","2","3","3",20,26,19,10,15
"1153",1045,"1","1","3","4","5",21,25,21,21,24
"1154",1045,"1","1","3","4","5",23,27,21,23,22
"1155",1046,"2","2","4","5","3",17,16,22,23,20
"1156",1046,"2","2","4","5","3",23,22,26,18,23
"1157",1048,"1","1","4","3","2",17,20,19,22,23
"1158",1048,"1","1","4","3","2",15,24,19,23,23
"1161",1050,"1","1","3","3","1",22,20,15,9,12
"1162",1050,"1","1","3","3","1",21,13,14,16,15
"1163",1051,"2","1","3","3","3",22,27,25,29,32
"1164",1051,"2","1","3","3","3",22,18,28,25,31
"1165",1054,"1","1","5","3","3",7,12,18,18,19
"1166",1054,"1","1","5","3","3",20,20,23,11,18
